date,trips
2017-01-01 00:00:00,33003
2017-01-01 01:00:00,42481
2017-01-01 02:00:00,40476
2017-01-01 03:00:00,34961
2017-01-01 04:00:00,25262
2017-01-01 05:00:00,14346
2017-01-01 06:00:00,10019
2017-01-01 07:00:00,8440
2017-01-01 08:00:00,7699
2017-01-01 09:00:00,8828
2017-01-01 10:00:00,11186
2017-01-01 11:00:00,13416
2017-01-01 12:00:00,14882
2017-01-01 13:00:00,16123
2017-01-01 14:00:00,16817
2017-01-01 15:00:00,17407
2017-01-01 16:00:00,18144
2017-01-01 17:00:00,18786
2017-01-01 18:00:00,18941
2017-01-01 19:00:00,18578
2017-01-01 20:00:00,17684
2017-01-01 21:00:00,16603
2017-01-01 22:00:00,16293
2017-01-01 23:00:00,14844
2017-01-02 00:00:00,12184
2017-01-02 01:00:00,8350
2017-01-02 02:00:00,5947
2017-01-02 03:00:00,4896
2017-01-02 04:00:00,5221
2017-01-02 05:00:00,5634
2017-01-02 06:00:00,7105
2017-01-02 07:00:00,8204
2017-01-02 08:00:00,10050
2017-01-02 09:00:00,11542
2017-01-02 10:00:00,12599
2017-01-02 11:00:00,14729
2017-01-02 12:00:00,17277
2017-01-02 13:00:00,18189
2017-01-02 14:00:00,19374
2017-01-02 15:00:00,19956
2017-01-02 16:00:00,20683
2017-01-02 17:00:00,21534
2017-01-02 18:00:00,21811
2017-01-02 19:00:00,19192
2017-01-02 20:00:00,16341
2017-01-02 21:00:00,16070
2017-01-02 22:00:00,15385
2017-01-02 23:00:00,12675
2017-01-03 00:00:00,9043
2017-01-03 01:00:00,5424
2017-01-03 02:00:00,3767
2017-01-03 03:00:00,3236
2017-01-03 04:00:00,4761
2017-01-03 05:00:00,6763
2017-01-03 06:00:00,12381
2017-01-03 07:00:00,22081
2017-01-03 08:00:00,25939
2017-01-03 09:00:00,21865
2017-01-03 10:00:00,17216
2017-01-03 11:00:00,17199
2017-01-03 12:00:00,18384
2017-01-03 13:00:00,19006
2017-01-03 14:00:00,19441
2017-01-03 15:00:00,22370
2017-01-03 16:00:00,22415
2017-01-03 17:00:00,23947
2017-01-03 18:00:00,25272
2017-01-03 19:00:00,21237
2017-01-03 20:00:00,18184
2017-01-03 21:00:00,17427
2017-01-03 22:00:00,15166
2017-01-03 23:00:00,12401
2017-01-04 00:00:00,8575
2017-01-04 01:00:00,5531
2017-01-04 02:00:00,3814
2017-01-04 03:00:00,3228
2017-01-04 04:00:00,4511
2017-01-04 05:00:00,6188
2017-01-04 06:00:00,11452
2017-01-04 07:00:00,21444
2017-01-04 08:00:00,25284
2017-01-04 09:00:00,21174
2017-01-04 10:00:00,16589
2017-01-04 11:00:00,15513
2017-01-04 12:00:00,15385
2017-01-04 13:00:00,15513
2017-01-04 14:00:00,16710
2017-01-04 15:00:00,17250
2017-01-04 16:00:00,18132
2017-01-04 17:00:00,22612
2017-01-04 18:00:00,24497
2017-01-04 19:00:00,23086
2017-01-04 20:00:00,21081
2017-01-04 21:00:00,20085
2017-01-04 22:00:00,18867
2017-01-04 23:00:00,14510
2017-01-05 00:00:00,9915
2017-01-05 01:00:00,6265
2017-01-05 02:00:00,4190
2017-01-05 03:00:00,3509
2017-01-05 04:00:00,4625
2017-01-05 05:00:00,6539
2017-01-05 06:00:00,12496
2017-01-05 07:00:00,22819
2017-01-05 08:00:00,27844
2017-01-05 09:00:00,23405
2017-01-05 10:00:00,18371
2017-01-05 11:00:00,16728
2017-01-05 12:00:00,17100
2017-01-05 13:00:00,16841
2017-01-05 14:00:00,18526
2017-01-05 15:00:00,19521
2017-01-05 16:00:00,20460
2017-01-05 17:00:00,25021
2017-01-05 18:00:00,27772
2017-01-05 19:00:00,26239
2017-01-05 20:00:00,24418
2017-01-05 21:00:00,18598
2017-01-05 22:00:00,21881
2017-01-05 23:00:00,17728
2017-01-06 00:00:00,12699
2017-01-06 01:00:00,8233
2017-01-06 02:00:00,5607
2017-01-06 03:00:00,4530
2017-01-06 04:00:00,5146
2017-01-06 05:00:00,6857
2017-01-06 06:00:00,12235
2017-01-06 07:00:00,22592
2017-01-06 08:00:00,27812
2017-01-06 09:00:00,23979
2017-01-06 10:00:00,18350
2017-01-06 11:00:00,16933
2017-01-06 12:00:00,17473
2017-01-06 13:00:00,17673
2017-01-06 14:00:00,19177
2017-01-06 15:00:00,20051
2017-01-06 16:00:00,21119
2017-01-06 17:00:00,26749
2017-01-06 18:00:00,30056
2017-01-06 19:00:00,31698
2017-01-06 20:00:00,28776
2017-01-06 21:00:00,27234
2017-01-06 22:00:00,29074
2017-01-06 23:00:00,29054
2017-01-07 00:00:00,24589
2017-01-07 01:00:00,18736
2017-01-07 02:00:00,14359
2017-01-07 03:00:00,10567
2017-01-07 04:00:00,8434
2017-01-07 05:00:00,6565
2017-01-07 06:00:00,7707
2017-01-07 07:00:00,9580
2017-01-07 08:00:00,13006
2017-01-07 09:00:00,17605
2017-01-07 10:00:00,20225
2017-01-07 11:00:00,21772
2017-01-07 12:00:00,22856
2017-01-07 13:00:00,23728
2017-01-07 14:00:00,22785
2017-01-07 15:00:00,22625
2017-01-07 16:00:00,21748
2017-01-07 17:00:00,21956
2017-01-07 18:00:00,24482
2017-01-07 19:00:00,26599
2017-01-07 20:00:00,25992
2017-01-07 21:00:00,24880
2017-01-07 22:00:00,24850
2017-01-07 23:00:00,25677
2017-01-08 00:00:00,23018
2017-01-08 01:00:00,18838
2017-01-08 02:00:00,14551
2017-01-08 03:00:00,10373
2017-01-08 04:00:00,7649
2017-01-08 05:00:00,5603
2017-01-08 06:00:00,5931
2017-01-08 07:00:00,8008
2017-01-08 08:00:00,10405
2017-01-08 09:00:00,14114
2017-01-08 10:00:00,18300
2017-01-08 11:00:00,21576
2017-01-08 12:00:00,23360
2017-01-08 13:00:00,23835
2017-01-08 14:00:00,23684
2017-01-08 15:00:00,24895
2017-01-08 16:00:00,26097
2017-01-08 17:00:00,26166
2017-01-08 18:00:00,26111
2017-01-08 19:00:00,25163
2017-01-08 20:00:00,24041
2017-01-08 21:00:00,21204
2017-01-08 22:00:00,19058
2017-01-08 23:00:00,16271
2017-01-09 00:00:00,10312
2017-01-09 01:00:00,6664
2017-01-09 02:00:00,4344
2017-01-09 03:00:00,3819
2017-01-09 04:00:00,5451
2017-01-09 05:00:00,7602
2017-01-09 06:00:00,13732
2017-01-09 07:00:00,23670
2017-01-09 08:00:00,30603
2017-01-09 09:00:00,28536
2017-01-09 10:00:00,20355
2017-01-09 11:00:00,18120
2017-01-09 12:00:00,18232
2017-01-09 13:00:00,18242
2017-01-09 14:00:00,19718
2017-01-09 15:00:00,20227
2017-01-09 16:00:00,20759
2017-01-09 17:00:00,25717
2017-01-09 18:00:00,28279
2017-01-09 19:00:00,26405
2017-01-09 20:00:00,23289
2017-01-09 21:00:00,21521
2017-01-09 22:00:00,19761
2017-01-09 23:00:00,14177
2017-01-10 00:00:00,10218
2017-01-10 01:00:00,5972
2017-01-10 02:00:00,3987
2017-01-10 03:00:00,3221
2017-01-10 04:00:00,4555
2017-01-10 05:00:00,6962
2017-01-10 06:00:00,13010
2017-01-10 07:00:00,24494
2017-01-10 08:00:00,29945
2017-01-10 09:00:00,25044
2017-01-10 10:00:00,18955
2017-01-10 11:00:00,16866
2017-01-10 12:00:00,16998
2017-01-10 13:00:00,16812
2017-01-10 14:00:00,18506
2017-01-10 15:00:00,19482
2017-01-10 16:00:00,20113
2017-01-10 17:00:00,24482
2017-01-10 18:00:00,26289
2017-01-10 19:00:00,24584
2017-01-10 20:00:00,23204
2017-01-10 21:00:00,21902
2017-01-10 22:00:00,19712
2017-01-10 23:00:00,14739
2017-01-11 00:00:00,10042
2017-01-11 01:00:00,6334
2017-01-11 02:00:00,4847
2017-01-11 03:00:00,3667
2017-01-11 04:00:00,4638
2017-01-11 05:00:00,6706
2017-01-11 06:00:00,12567
2017-01-11 07:00:00,23555
2017-01-11 08:00:00,28041
2017-01-11 09:00:00,23197
2017-01-11 10:00:00,17840
2017-01-11 11:00:00,16093
2017-01-11 12:00:00,16347
2017-01-11 13:00:00,16336
2017-01-11 14:00:00,17587
2017-01-11 15:00:00,18707
2017-01-11 16:00:00,19370
2017-01-11 17:00:00,23436
2017-01-11 18:00:00,25929
2017-01-11 19:00:00,24469
2017-01-11 20:00:00,23054
2017-01-11 21:00:00,26591
2017-01-11 22:00:00,27070
2017-01-11 23:00:00,20889
2017-01-12 00:00:00,12282
2017-01-12 01:00:00,6729
2017-01-12 02:00:00,4655
2017-01-12 03:00:00,3677
2017-01-12 04:00:00,4798
2017-01-12 05:00:00,7171
2017-01-12 06:00:00,12941
2017-01-12 07:00:00,23440
2017-01-12 08:00:00,27696
2017-01-12 09:00:00,23377
2017-01-12 10:00:00,18074
2017-01-12 11:00:00,16810
2017-01-12 12:00:00,16883
2017-01-12 13:00:00,16863
2017-01-12 14:00:00,18513
2017-01-12 15:00:00,19303
2017-01-12 16:00:00,20568
